Location,Name,Asset Status,Model,Serial Number,Unspc Code,Date of Last Service,Last Service Description,Next Service Description,Next Service Due,
,MAKO#2 DDS,on,"11112568 (6 thruster model), MAKO mk.6 ",HRSM-92955,MAKO,"Oct 27, 2022",2A Service,1A Service,"Oct 27, 2023",
,MAKO Thruster (NDW),on,11116009,ASSM - 126943,MAKO,"Oct 27, 2022",1A Service,1A Service,"Oct 27, 2023",
,MAKO Thruster (NDW),on,11116009,AASM - 126965,MAKO,"Oct 27, 2022",2A Service,1A Service,"Oct 27, 2023",
,MAKO Thruster (NDW),on,11116009,AASM - 126954,MAKO,"Oct 27, 2022",2A Service,1A Service,"Oct 27, 2023",
,MAKO Thruster (NDW),on,11116009,AASM-126932,MAKO,"Oct 27, 2022",2A Service,1A Service,"Oct 27, 2023",
,MAKO Thruster (NDW),on,11116009,AASM - 126987,MAKO,"Oct 27, 2022",2A Service,1A Service,"Oct 27, 2023",
,MAKO Thruster Control Box,on,11114603  (11114587),HKSE-50566,MAKO,"Oct 18, 2024",2A Service,1A Service,"Oct 18, 2025",
,MAKO Control Box,on,11113119,HRHS-93855,MAKO,"Oct 27, 2022",2A Service,1A Service,"Oct 27, 2023",
,MAKO GPS Pole,on,11114327  (11113635),HKHS-51703,MAKO,"Oct 27, 2022",2A Service,1A Service,"Oct 27, 2023",
,MAKO Thruster (NDW),on,11116009,AHSU-116342,MAKO,"Oct 27, 2022",New,1A Service,"Oct 27, 2023",
,MAKO Battery Pods,on,11112599,,,,,,,
,MAKO Battery Pod 595,on,11112599,HKSA-47595,MAKO,"Sep 06, 2021",1A Service,2A,"Sep 06, 2022",
,MAKO Battery Pod 607*,on,11112599,HKSA-47607,MAKO,"Sep 04, 2023",2A Service & New Batteries.,1A Service,"Sep 04, 2024",
,MAKO Battery Pod 618*,on,11112599,HKSA-47618,MAKO,"Sep 04, 2023",2A Service & New Batteries.,1A Service,"Sep 04, 2024",
,MAKO Battery Pod 629,,11112599,HKSA-47629,,"Sep 04, 2023",Offline,1A Service,,
,MAKO Battery Pod 630,on,11112599,HKSA-47630,MAKO,"Sep 06, 2021",1A Service,2A Service,"Sep 06, 2022",
,MAKO Battery Pod 641,on,11112599,HKSA-47641,MAKO,"Sep 06, 2021",1A Service,2A Service,"Sep 06, 2022",
,MAKO Battery Pod 652,on,11112599,HKSA-47652,MAKO,"Sep 06, 2021",1A Service,2A Service,"Sep 06, 2022",
,MAKO Battery Pod 663*,on,11112599,HKSA-47663,MAKO,"Sep 04, 2023",2A and Replace Batteries.,1A Service,"Sep 04, 2024",
,MAKO Battery Pod 991 Spare,on,11112599,HKSM-49991,MAKO,"Apr 03, 2017",2A Service,In 2A Service Now.,"Apr 03, 2022",
,MAKO Battery Pod - HNSR-56663,on,11112599,HNSR-56663,,,,,,
,MAKO Battery Chargers,on,11112499,,,,,,,
,MAKO DDS Accessories Kit,on,,,,,,,,
,BARRACUDA ROV SYSTEM,on,BARRACUDA - P/N 11114259,HNSR-56900 (vehicle),,,,,,
,BARRACUDA ROV VEHICLE,on,Barracuda,HNSR-56900,BARRACUDA,"Apr 06, 2024",2A Service,1A,"Apr 05, 2025",
,"MANIPULATOR, DUAL FUNCTION",on,,,,,,,,
,Thruster Model 560,,560,314-815(DEFECTIVE,,,Offline,Offline,,
,AURORA LEDs.,on,AURORA-4,"HNSE-54560, HNSE-54548",BARRACUDA,"Apr 06, 2024",2A Service,1A Service.,"Apr 06, 2025",
,Multi-Beam Sonar (Barracuda),on,M900/2230,#3032,BARRACUDA,"Nov 22, 2024",Repair,1A Service,"Nov 22, 2025",
,"GPS, Pole Mount, ROV",on,SGPS 0000,HNSR-52074,BARRACUDA,"Apr 06, 2024",2A Service,1A Service,"Apr 06, 2025",
,Thruster Model 560,on,560,314-1025. ,BARRACUDA,"Apr 06, 2024",2A Service,1A Service,"Apr 06, 2025",
,Thruster Model 560,on,560,314-1025,BARRACUDA,"Apr 06, 2024",2A Service ,1A Service,"Apr 06, 2025",
,Thruster Model 560,on,560,314-1030,BARRACUDA,"Apr 06, 2024",2A Service ,1A Service,"Apr 06, 2025",
,Thruster Model 560,on,560,"314-1034, ",BARRACUDA,"Apr 06, 2024",2A Service,1A Service,"Apr 06, 2025",
,Thruster Model 560,on,560,314-1026,BARRACUDA,"Apr 06, 2024",2A Service,1A Service ,"Apr 06, 2025",
,BARRACUDA UMBILICAL CABLES,on,,,,,,,,
,BARRACUDA Cable Reel Assembly,on,CR2-2424-M,HNSU-58890,BARRACUDA,"Apr 06, 2024",2A Service and Checks.,1A Service,"Apr 06, 2025",
,BARRACUDA 100M UMBILICAL CABLE ASSEMBLY,on,100Metre Umbilical Drwg11114870,,BARRACUDA,"Apr 06, 2024",2A Service and Checks,1A Service,"Apr 06, 2025",
,BARRACUDA 7.5M Deck Cable Assembly,on,7.5Metre Umbilical Drwg 11114870,,BARRACUDA,"Apr 06, 2024",2A Service and Checks,1A Service,"Apr 06, 2025",
,TRACKLINK 1500LC SYSTEM,on,TL-1500LC,,,,,,,
,TRACKLINK TRANSCEIVER 1500LC,on,1500LC,#014668,BARRACUDA,"Apr 06, 2024",New,2A Service and Checks.,"Apr 06, 2025",
,TRACKLINK TRANSPONDER 1505B,on,1505B,#011346,BARRACUDA,"Apr 06, 2024",New,2A Service and Checks.,"Apr 06, 2025",
,TOPSIDE CONTROLLER Mk111,on,Mk3,HNSU-58711,BARRACUDA,"Apr 06, 2024",2A Service,1A Service,"Apr 06, 2025",
,ROV TRANSFORMER 115/230 VAC 2 KVA,on,,HNSU-58889,BARRACUDA,"Aug 12, 2024",2A Service ,2A Service,"Aug 12, 2026",
,"HEADING,PITCH,ROLL SENSOR ASSEMBLY",on,HPR Sensor,HNSU-58957,BARRACUDA,"Apr 06, 2024",2A Service,1A Service,"Apr 06, 2025",
,BARRACUDA QUICK RELEASE & RECOVERY HOOK,,,,,,,Offline,,
,ROV ACCESSORY CASE,on,,,,,,,,
,COMPREHENSIVE SPARE PARTS KIT,on,,,,,,,,
,BARRACUDA PROSTICK ROV CONTROLLER,on,11114066,HNSN-52782,BARRACUDA,"Apr 06, 2024",2A Service,1A Service,"Apr 06, 2025",
,REMUS 100 AUV Systems.,on,,,,,,,,
,REMUS 01335 - Scar,on,R100,01335,REMUS 100,"Mar 07, 2023",2A REMUS RFM Maintenance,2A REMUS RFM Maintenance ,"Mar 07, 2025",
,REMUS 01384 - Snowflake,on,R100,01384,REMUS 100,"Aug 15, 2024",New IMU and Service,2A Service,"Aug 15, 2026",
,REMUS 01358 - Grief,on,R100,01358,REMUS 100,"Oct 22, 2024",2A REMUS RFM Maintenance,2A REMUS RFM Maintenance,"Oct 22, 2026",
,REMUS 01336 - Hollywood,on,R100,01336,REMUS 100,"Sep 02, 2024",2A REMUS RFM Maintenance,2A REMUS RFM Maintenance,"Sep 02, 2026",
,REMUS 01448 - Puriri,,R100,01448,REMUS 100,"May 12, 2023",2A REMUS RFM Maintenance,2A REMUS RFM Maintenance,,
,REMUS 01449 - Watchdog,on,R100,01449,REMUS 100,"Jul 03, 2024",2A REMUS RFM Maintenance,2A REMUS RFM Maintenance,"Jul 03, 2026",
,REMUS Accessories,on,,,,,,,,
,Transponders,on,102610,,,,,,,
,REMUS Ranger Systems.,on,150521,,,,,,,
,REMUS Ranger Towfish,on,102042,,,,,,,
,REMUS Ranger Towfish S/N 2179(U/S),,ASSY TOWFISH 25 FT CABLE,2179,,"Feb 25, 2016",Offline,Offline,"Feb 25, 2018",
,zREMUS Ranger Towfish S/N 2240,on,ASSY TOWFISH 25 FT CABLE,2240,REMUS 100,"Dec 05, 2017",System Check.,2A Service,"Dec 05, 2019",
,REMUS Ranger Towfish S/N 2256,on,ASSY TOWFISH 25 FT CABLE,2256,REMUS 100,"Dec 05, 2017",System Check,2A Service,"Dec 05, 2017",
,REMUS Ranger Towfish S/N 409 (U/S),,ASSY TOWFISH 25 FT CABLE,409,,"Dec 11, 2023",Offline,Offline,"Dec 11, 2025",
,REMUS Ranger Towfish S/N 2395 (U/S),,102042-1 RevK,2395,REMUS 100,"Aug 08, 2018",System Check,2A Service,"Aug 09, 2020",
,REMUS Ranger Towfish S/N 2127,on,102042-1,2127,REMUS 100,"Dec 05, 2017",2A Service,System Check,"Dec 05, 2019",
,REMUS Ranger Towfish S/N 2414,on,102042-1/K,2414,REMUS 100,"Aug 20, 2016",New,2A Service,"Aug 20, 2018",
,REMUS Ranger Towfish S/N 2466,on,102042-1/K,2466,REMUS 100,"Aug 20, 2018",New,System Check,"Aug 19, 2020",
,REMUS Ranger Towfish S/N 2876,on,102042-1/K,#2876,REMUS 100,"Dec 09, 2024",New,2A,"Dec 08, 2027",
,REMUS Ranger Towfish S/N 2939,on,102042-1/K,#2939,REMUS 100,"Dec 05, 2024",New,2A,"Dec 04, 2027",
,REMUS Ranger S/N 1019,on,150521-3-1,1019,REMUS 100,"Jul 18, 2018",Operational Check.,2A Ranger Service,"Jul 18, 2020",
,REMUS Ranger #1 - S/N 346 (U/S),,150521-3,#346,,"Mar 29, 2019",Offline,,,
,REMUS Ranger #2,on,150521-3-1,#310,REMUS 100,"Dec 22, 2022",Repair,2A Ranger Service,"Dec 22, 2024",
,REMUS Ranger #3 - S/N 319 (U/S),,150521-3,#319,,,Offline,,,
,REMUS Ranger S/N 1374,on,150521-3-1,1374,REMUS 100,"Jul 31, 2023",Repair,2A Ranger Service,"Jul 30, 2025",
,REMUS Ranger S/N 1375,on,150521-3-1,1375,REMUS 100,"Jul 13, 2018",Repair,2A Ranger Service,"Jul 13, 2020",
,REMUS Ranger #1376,on,150521-3-1/M,1376,REMUS 100,"Jan 11, 2021",New,2A Service,"Jan 11, 2023",
,REMUS Ranger S/N 1694,on,150521-3-1/R,#1694,REMUS 100,"Dec 05, 2024",New,2A,"Dec 04, 2026",
,REMUS Hub Boxes,on,150523,,,,,,,
,REMUS HUB Box #1 - S/N 337,on,150523,#337,REMUS 100,,,2A Service,"Jun 20, 2014",
,REMUS HUB Box #2 - S/N 366,on,150523A/Rev.D1,#366,REMUS 100,,,2A Service,"Jun 20, 2014",
,REMUS HUB Box #3 - S/N 348,on,150523/A,#348,REMUS 100,,,2A Service,"Jun 20, 2014",
,REMUS HUB Box #4 - S/N 1002,on,150523-2,#1002,REMUS 100,,,2A Service,"Jun 20, 2014",
,REMUS HuB Box S/N 1163,on,150523-2/D,1163,REMUS 100,,,2A Service,"Jun 20, 2014",
,REMUS Hub Box S/N 1157,on,150521-3-1,1157,REMUS 100,,,2A Service,"Jun 20, 2014",
,Gateway Buoys,on,,,,,,,,
,REMUS Gateway Buoy #1,on,150065-2,#211,REMUS 100,"Apr 04, 2022",Repair,2A Gateway Buoy Service,"Apr 04, 2024",
,REMUS Gateway Buoy #2,on,150150-2,#1001,REMUS 100,"Apr 04, 2022",Repair,2A Service,"Apr 04, 2024",
,REMUS 100 VCR Systems,on,,,,,,,,
,REMUS VCR Camera S/N 1003,on,"PN 151347, Rev B - Assy; Video Camera; R100",1003,REMUS 100,"May 01, 2023",Repair and Service,2A VCR Camera Service,"May 01, 2025",
, REMUS VCR Camera S/N 1029,on,"PN 151347, Rev B - Assy; Video Camera; R100",1029,REMUS 100,"Jul 01, 2023",Repair and Service,2A VCR Camera Service,"May 01, 2025",
, REMUS Simulator,on,Simulator 2  151617 Rev B,#1020,,,,,,
,REMUS Hi Speed Data Cables ,on,156957,N/A,,,,,,
,REMUS Power/Data Cables ,on,101924,N/A,,,,,,
,REMUS Battery Maintenance Station Assy,on,162561 Rev/C,1106,,,,,,
,REMUS Spares,on,,,,,,,,
,REMUS Battery Tray - Spare,on,164018,,REMUS 100,"Nov 27, 2023",Routine Maintenance Charge - BMS,Routine Maintenance Charge - BMS,,
,Edgetech PORT System,on,,,,,,,,
,Seatex MRU Systems,on,,,,,,,,
,Fugro GNSS Systems.,on,,,,,,,,
,Sidescan Systems,on,,,,,,,,
,SeeByte Packages,on,,,,,,,,
,Edgetech BATS System,on,,,,,,,,
,MURENA Exercise Mine Outfit,on,,,,,,,,
,REMUS 300 Systems.,on,,,,,,,,
,REMUS 03203 - TANIWHA,on,REMUS 300,03203,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,REMUS 03202 - WOLF,on,REMUS 300,03202,REMUS 300,"Sep 10, 2024",2A Service,2A Service,"Sep 10, 2026",
,Ancilliary Equipment - REMUS 300,on,,,,,,,,
,HUB BOXES,on,,,,,,,,
,Hub Box - R300 ,on,165575,#1065,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,Hub Box - R300,on,165575,#1064,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,Hub Box - R300,on,165575,#1071,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,Hub Box - R300,on,165575,#1063,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,Hub Box - R300,on,165575,#1062,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,Hub Box - R300,on,165575,#1102,REMUS 300,"Oct 17, 2024",New,2A Service,"Oct 17, 2026",
,Hub Box - R300,on,165575,#1113,REMUS 300,"Oct 17, 2024",New,2A Service,"Oct 17, 2026",
,VACUUM PUMPS,on,169601,,,,,,,
,Vacuum Pump - R300,on,169601,#1005*,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,Vacuum Pump - R300,on,169601,#1000,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,Vacuum Pump - R300,on,169601,#1003,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,Vacuum Pump - R300,on,169601,#1004,REMUS 300,"Sep 29, 2022",New,2A service,"Sep 29, 2024",
,Vacuum Pump - R300,on,169601,#1002,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,Vacuum Pump - R300,on,169601,#1001,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,Vacuum Pump - R300,on,169601/D,#1034*,REMUS 300,"May 08, 2024",New,2A Service,"May 08, 2026",
,Vacuum Pump - R300,on,169601/D,#1060,REMUS 300,"Oct 02, 2024",New,2A Service,"Oct 02, 2026",
,Vacuum Pump - R300,on,169601/D,#1056,REMUS 300,"Oct 02, 2024",New,2A Service,"Oct 02, 2026",
,Vacuum Pump - R300,on,169601/D,#1057,REMUS 300,"Oct 02, 2024",New,2A Service,"Oct 02, 2026",
,VOYIS CAMERAS,on,171107 - 04,,,,,,,
,VOYIS Camera - R300,on,171107-04A,18009904002,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,VOYIS Camera - R300,on,171107-04A,18009904003,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,VOYIS Camera - R300,on,171107-04A,18009904011,REMUS 300,"Oct 20, 2024",New,2A,"Oct 20, 2026",
,VOYIS Camera - R300,on,171107-04A,18009904009,REMUS 300,"May 08, 2024",New,2A,"May 07, 2026",
,POWER BOXES,on,151054-4/R,,,,,,,
,Power Box - R300,on,151054 - 4/R,#1134,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,Power Box - R300,on,151054 - 4/R,#1135,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,Power Box - R300,on,151054 - 4/R,#1136,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,Power Box - R300,on,151054 - 4/R,#1137,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,POWER CABLE KITS,on,170510/B,,,,,,,
,Power Cable Kit - R300,on,170510/B,#1001,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,Power Cable Kit - R300,on,170510/B,#1002,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,Power Cable Kit - R300,on,170510/B,#1003,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,Power Cable Kit - R300,on,170510/B,#1004,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,BATTERY - 3KW,on,171693-2,,,,,,,
,Battery - 3 KW,on,171693-2-04/A,#1001,REMUS 300,"Sep 29, 2022",New,2A Service and Condition,"Sep 29, 2024",
,Battery - 3 KW,on,171693-2-04/A,#1002,REMUS 300,"Sep 29, 2022",New,2A Service and Condition,"Sep 29, 2024",
,Battery - 3 KW,on,171693-2-04/A,#1003,REMUS 300,"Sep 29, 2022",New,2A Service and Condition,"Sep 29, 2024",
,Battery - 3 KW,on,171693-2-04/A,#1004,REMUS 300,"Sep 29, 2022",New,2A Service and Condition,"Sep 29, 2024",
,BATTERY - 1.5KW,on,171693-1,,,,,,,
, Battery - 1.5KW,on,171693-1-04/A,#1024,REMUS 300,"Oct 20, 2023",New,2A Service and Condition,"Oct 20, 2025",
,Battery  - 1.5 KW,on,171693-1-04/A,#1025,REMUS 300,"Oct 20, 2023",New,2A Service and Condition,"Oct 20, 2025",
, Battery - 1.5KW,on,171693-1-04/C,#1038,REMUS 300,"Jun 03, 2024",New,2A Service and Condition,"Jun 03, 2026",
,Battery - 1.5KW,on,171693-1-04/C,#1039,REMUS 300,"Jun 03, 2024",New,2A Service and Condition,"Jun 03, 2026",
,Battery - 1.5KW,on,171693-1-04/D,#1060,REMUS 300,"Dec 08, 2024",New,2A Service and Condition,"Dec 08, 2026",
,Battery - 1.5KW,on,171693-1-04/D,#1061,REMUS 300,"Dec 09, 2024",New,2A Service and Condition,"Dec 09, 2026",
,RANGERS (Black),on,150521-6-3/R,,,,,,,
,Ranger S/N 1595 (Black),on,150521-6-3/R,1595,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,Ranger S/N 1612 (Black),on,150521-6-3/R,1612,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,Ranger S/N 1616 (Black),on,150521-6-3/R,1616,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,Ranger S/N 1594 (Black),on,150521-6-3/R,1594,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,Ranger S/N 1639 (Black),on,150521-6-3/R,1639,REMUS 300,"Mar 05, 2024",New,2A Service,"Mar 05, 2026",
,Ranger S/N 1687  (Black),on,150521-6-3/R,1687,REMUS 300,"Oct 02, 2024",New,2A Service,"Oct 02, 2026",
,TOWFISH,on,102042-1,,,,,,,
,Towfish #2928,on,102042-1,#2928,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,Towfish #2965,on,102042-1,#2965,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,Towfish #2973,on,102042-1,#2973,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,Towfish #2981,on,102042-1,#2981,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,Towfish #2967,on,102042-1,#2967,REMUS 300,"Mar 05, 2024",New,2A Service,"Mar 05, 2026",
,Towfish #3254,on,102042-1,#3254,REMUS 300,"Oct 02, 2024",New,2A Service,"Oct 02, 2026",
,TRANSPONDERS,on,102610-2,,,,,,,
,Transponder 4A #80057,on,102610-2-1/N,#80057,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,Transponder 4B #80058,on,102610-2-2/N,#80058,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,Transponder 4C #80055,on,102610-2-3/N,#80055,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,Transponder 4D #80088,on,102610-2-4/N,#80088,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,Transponder 4E #80081,on,102610-2-5/N,#80081,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,Transponder 4F #80087,on,102610-6/N,#80087,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,Transponder 4G #80094,on,102610-2-7/N,#80094,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,Transponder 4H #80093,on,102610-2-8/N,#80093,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,HARD DRIVE ASSEMBLIES - 1TB R300,on,170831/B,,,,,,,
,SURFACE COMMS STATIONS,on,170761,,,,,,,
,SURFACE COMMS STATION - 1006,on,170762/B,#1006,REMUS 300,"May 08, 2024",New,2A Service,"May 08, 2026",
,SURFACE COMMS STATION - 1012,on,170762/B,#1012,REMUS 300,"Oct 20, 2024",New,2A Service,"Oct 20, 2026",
,REMUS SIMULATOR ,on,170831/B(CASE ASSM),,,,,,,
,DRY STORAGE CASE,on,171432-3,"#1000,#1001,#1002,#1003,#1015,#03240,",,,,,,
,WET STORAGE CASE,on,171431-1,"#1015, #1000,#1001,#1002,#1003,#03240,",,,,,,
,MISC SPARES CASE,on,171433,"#1018, #1002,#1003,#1027",,,,,,
,ULB-350 PROGRAMMER,on,ULB-350/PRG,PRG00635,,,,,,
,GATEWAY BUOY GEN2 GB4A,on,161912-17312X0-A/E,#2191,REMUS 300,"May 08, 2024",New,2A Service,"May 08, 2026",
,SCS ANCILLARY CASE,on,169979,"#1014, #1023 ",,,,,,
,"CART, GWB, Gen 2",on,159373,N/A,,,,,,
,REMUS 03204 - DART,on,REMUS 300,03204,REMUS 300,"Sep 29, 2022",New,2A Service,"Sep 29, 2024",
,REMUS 03205 - KRAKEN,on,REMUS 300,03205,REMUS 300,"Sep 10, 2024",2A Service,2A Service,"Sep 10, 2026",
,REMUS Tails,on,1/1773-04/A,,,,,,,
,REMUS 03218 - WAIMA,on,REMUS 300,03218,REMUS 300,"Jun 03, 2024",New,2A Service,"Jun 03, 2026",
,REMUS 03240 - KIWA,on,REMUS 300,#1027,REMUS 300,"Oct 02, 2024",New,2A Service,"Oct 02, 2026",
,New Zealand Ocean Technology Ltd,on,,,,,,,,
,NZOT Home Office,on,,,,,,,,
,Roger Reid's Kit,on,,,,,,,,
,Underwater Systems Workshop,on,,,,,,,,
,Ron's Toolkit,on,,,,,,,,
,Ron's Personal Equipment.,on,,,,,,,,
,Manly Workshop,,,,,,,,,
,To be Ordered,on,,,,,,,,
,RNZAF Base Whenuapai,on,,,,,,,,
,Scrapped Equipment.,on,,,,,,,,
,NZ Police Dive Team,on,,,,,,,,
,
